"gene","meanreadprop","Pop_P","Fib_P","Pop:Fib_P","Pop_GvS_C","Pop_RvS_C","Fib_C","GvS:Fib_C","RvS:Fib_C"
"ENSGACT00000006157","9.61826494248506e-05","4.11768750966365e-05","0.000118752502878717","0.907672095991215","-0.0583157046087217","0.0826992964403486","-0.0336087655023424","0.0078940828242502","-0.000649746302496017"
"ENSGACT00000025593","0.000148151440068083","5.49937295984965e-29","0.000119711139847463","0.00534586316171041","-0.0907757024857555","0.0466744393113725","0.0140291552305521","0.0136483182283083","-0.0140321507620119"
"ENSGACT00000010467","9.36116878263542e-05","6.36976506791953e-16","0.000120341019473411","0.0126142984670805","-0.0590267936838656","0.0454595285912115","0.0147409314010306","0.0108144392770683","-0.0141982995691118"
"ENSGACT00000003117","5.98917938217689e-05","7.89589773589092e-19","0.000120822145679167","0.362434189951221","-0.00258429130276797","0.194819597476815","0.0296053247090024","0.0145157970413935","-0.0123526178632141"
"ENSGACT00000012720","3.69108296148336e-05","2.92648046132749e-30","0.000120944930395482","0.585834551246928","0.0666979898877384","-0.554025112779404","-0.0503836041333943","-0.0437097339986879","-0.0331891398832467"
"ENSGACT00000013265","4.91550520191581e-05","0.661332363676042","0.000121155218032807","0.659638572497518","0.0360922090677645","0.0266079554218969","0.0464426512083209","-0.016981636492745","-0.0175211412690498"
"ENSGACT00000000861","7.14708340460449e-05","8.14963677901319e-15","0.000121562378217684","0.953468934914115","0.0522402500763697","-0.131997791649636","0.023336251429811","0.00480761999656035","0.00165150379481844"
"ENSGACT00000026778","8.70182826954719e-05","5.06647511271961e-22","0.000122550713995209","0.580282102051349","0.0769520260828182","0.235295239307299","0.0254592915722594","0.0171153100719766","-0.00118869925179632"
"ENSGACT00000026236","8.53089364552647e-05","3.94351860748924e-43","0.000122857099176885","0.0437693635416428","-0.0688859288721269","0.106758835527198","0.0156751631563574","0.0105309260865097","-0.0125209139018332"
"ENSGACT00000013286","7.47796736284077e-05","0.461884432466279","0.000122925507706341","0.241405711870801","-0.00795734005279265","0.0134071594737198","0.0147788452826522","0.014657619532756","-0.00407505605730845"
"ENSGACT00000003643","3.21410482045887e-05","4.66543906044281e-05","0.000122955778643432","0.18901875905683","0.165249225745973","0.312749601954809","-0.02374750533634","-0.0427028608656241","-0.0716805409302535"
"ENSGACT00000014751","9.21163997351038e-05","0.000134902759516553","0.000123030114200867","0.382051627018347","-0.040748802647715","0.0376288247123785","0.0215011614440309","0.00921546230009077","-0.00977306763301761"
"ENSGACT00000005336","0.000182811075788352","5.36703599550111e-43","0.000123087686435773","0.112034845006122","-0.0250851659746847","0.071851763358551","0.0089636240750195","0.00498796419728044","-0.00622442376868035"
"ENSGACT00000025113","5.36261886729819e-05","5.74486060279606e-06","0.000123548967223672","0.293226382889506","0.0280971159409307","-0.143141270277006","0.0286575666367634","-0.0120636111113222","0.0198677599315754"
"ENSGACT00000006634","5.26761543713252e-05","1.24004626961311e-11","0.000123694687151652","0.10039845356083","0.0636410358138287","-0.320012958125707","0.045025076612396","-0.0261218422419024","0.0436017435381938"
"ENSGACT00000018053","4.96574614119027e-05","4.59764844356426e-27","0.00012381591287403","0.894099630685356","0.00542976294799098","-0.36479204227581","-0.0428258705225665","-0.0133473492202017","-0.00159886138175815"
"ENSGACT00000008196","0.000134993672074799","3.77898347472805e-11","0.00012408765152811","0.0173103111592977","-0.0380622918843644","0.0425560588495727","0.0153587825238595","0.00564442169099402","-0.0153431702521171"
"ENSGACT00000012031","8.75082602461335e-05","6.75984612340234e-17","0.000124672610647261","0.370357626047327","-0.0296133329294644","0.0766306562973676","0.0143210195625492","0.0084402306415703","-0.0052947963119547"
"ENSGACT00000002509","7.69790603049038e-05","5.77910306769904e-09","0.000130210523954432","0.892494139705839","0.03391887273321","0.0647035697802438","0.0126326567023287","0.00170880149987457","0.00428912373508835"
"ENSGACT00000004283","8.29206043752986e-05","1.09252498095197e-16","0.000130557642122077","0.828832470525153","-0.0487374378927682","-0.0928598716472556","0.0133591556849449","0.00124386339936101","-0.00365734466390746"
"ENSGACT00000024694","7.98551541879341e-05","3.20386045682064e-47","0.000131035221054995","0.235775964878504","-0.0172395488028563","0.13815590322127","0.0178448420361247","9.43194448668928e-05","-0.0123523498710002"
